AP1,AP2,AP3,AP4,X,Y
-80,-78,-46,-60,8.5,6.85
-83,-77,-43,-63,8.7,6.85
-83,-75,-40,-56,8.9,6.85
-81,-72,-51,-63,9.1,6.85
-83,-78,-55,-65,9.3,6.85
-84,-81,-60,-73,9.5,6.85
-79,-72,-56,-73,4.1,7.35
-76,-75,-57,-66,4.3,7.35
-79,-77,-68,-66,4.5,7.35
-72,-74,-58,-64,4.7,7.35
-78,-80,-70,-74,4.9,7.35
-80,-77,-63,-66,5.1,7.35
-84,-70,-63,-71,5.3,7.35
-84,-80,-58,-72,5.5,7.35
-83,-80,-57,-66,5.7,7.35
-84,-74,-63,-73,5.9,7.35
-81,-85,-56,-68,6.1,7.35
-83,-71,-56,-72,6.3,7.35
-83,-74,-64,-72,6.5,7.35
-85,-72,-57,-67,6.7,7.35
-80,-70,-46,-64,6.9,7.35
-78,-75,-52,-70,7.1,7.35
-77,-76,-58,-60,7.3,7.35
-76,-86,-58,-61,7.5,7.35
-83,-70,-52,-64,7.7,7.35
-83,-74,-51,-60,7.9,7.35
-80,-73,-60,-63,8.1,7.35
-82,-78,-57,-71,8.3,7.35
-83,-71,-52,-66,8.5,7.35
-84,-72,-45,-60,8.7,7.35
-84,-71,-51,-60,8.9,7.35
-84,-80,-44,-60,9.1,7.35
-84,-71,-51,-62,9.3,7.35
-84,-81,-57,-67,9.5,7.35
-83,-80,-63,-68,4.7,7.85
-80,-74,-53,-65,4.9,7.85
-84,-77,-52,-65,5.1,7.85
-80,-76,-55,-65,5.3,7.85
-78,-72,-58,-75,5.5,7.85
-72,-75,-58,-73,5.7,7.85
-82,-78,-60,-66,5.9,7.85
-75,-78,-61,-67,6.1,7.85
-78,-71,-61,-64,6.3,7.85
-82,-68,-60,-61,6.5,7.85
-75,-68,-60,-69,6.7,7.85
-83,-68,-66,-66,6.9,7.85
-84,-70,-58,-66,7.1,7.85
-80,-70,-55,-66,7.3,7.85
-84,-77,-55,-61,7.5,7.85
-77,-72,-55,-62,7.7,7.85
-76,-72,-57,-70,7.9,7.85
-77,-74,-56,-63,8.1,7.85
-82,-74,-54,-57,8.3,7.85
-81,-72,-54,-64,8.5,7.85
-83,-71,-51,-68,8.7,7.85
-84,-73,-54,-67,8.9,7.85
-78,-78,-43,-62,9.1,7.85
-83,-80,-61,-66,9.3,7.85
-84,-80,-62,-68,9.5,7.85
-83,-72,-58,-67,4.7,8.35
-83,-71,-64,-68,4.9,8.35
-82,-70,-50,-66,5.1,8.35
-81,-78,-60,-73,5.3,8.35
-83,-73,-58,-62,5.5,8.35
-84,-70,-58,-67,5.7,8.35
-85,-76,-58,-62,5.9,8.35
-80,-77,-61,-67,6.1,8.35
-77,-73,-57,-62,6.3,8.35
-83,-70,-63,-70,6.5,8.35
-82,-75,-61,-66,6.7,8.35
-82,-81,-60,-67,6.9,8.35
-84,-72,-57,-63,7.1,8.35
-84,-77,-63,-68,7.3,8.35
-83,-74,-55,-62,7.5,8.35
-83,-75,-52,-61,7.7,8.35
-81,-82,-47,-67,7.9,8.35
-84,-66,-52,-64,8.1,8.35
-83,-80,-57,-58,8.3,8.35
-83,-72,-57,-60,8.5,8.35
-83,-76,-58,-68,8.7,8.35
-78,-70,-46,-63,8.9,8.35
-82,-80,-60,-68,9.1,8.35
-81,-80,-47,-66,9.3,8.35
-84,-80,-51,-63,9.5,8.35
-86,-77,-60,-62,4.7,8.85
-83,-67,-60,-64,4.9,8.85
-83,-71,-58,-64,5.1,8.85
-82,-70,-52,-73,5.3,8.85
-86,-66,-62,-65,5.5,8.85
-79,-72,-57,-62,5.7,8.85
-83,-67,-59,-62,5.9,8.85
-85,-71,-57,-64,6.1,8.85
-83,-71,-57,-65,6.3,8.85
-80,-77,-60,-64,6.5,8.85
-78,-76,-56,-62,6.7,8.85
-81,-71,-55,-63,6.9,8.85
-82,-72,-54,-60,7.1,8.85
-83,-75,-55,-66,7.3,8.85
-82,-78,-55,-65,7.5,8.85
-81,-80,-51,-61,7.7,8.85
-82,-76,-53,-60,7.9,8.85
-78,-70,-50,-67,8.1,8.85
-80,-67,-45,-60,8.3,8.85
-81,-75,-40,-64,8.5,8.85
-82,-81,-40,-63,8.7,8.85
-78,-75,-42,-67,8.9,8.85
-82,-74,-49,-66,9.1,8.85
-83,-77,-50,-63,9.3,8.85
-80,-63,-42,-68,9.5,8.85
-83,-70,-51,-63,4.7,9.25
-82,-76,-52,-64,4.9,9.25
-84,-71,-56,-52,5.1,9.25
-84,-72,-55,-58,5.3,9.25
-82,-80,-53,-58,5.5,9.25
-82,-71,-46,-54,5.7,9.25
-84,-80,-49,-57,5.9,9.25
-84,-73,-48,-57,6.1,9.25
-80,-73,-48,-63,6.3,9.25
-82,-72,-47,-70,6.5,9.25
-84,-78,-50,-61,6.7,9.25
-82,-80,-45,-62,6.9,9.25
-85,-80,-40,-64,7.1,9.25
-80,-77,-49,-65,7.3,9.25
-82,-80,-46,-63,7.5,9.25
-84,-78,-43,-68,7.7,9.25
-84,-75,-44,-68,7.9,9.25
-84,-73,-56,-63,8.1,9.25
-88,-82,-47,-68,8.3,9.25
-82,-82,-45,-60,8.5,9.25
-86,-76,-44,-58,8.7,9.25
-85,-72,-40,-62,8.9,9.25
-83,-75,-43,-62,9.1,9.25
-82,-75,-48,-63,9.3,9.25
-83,-74,-44,-61,9.5,9.25
-88,-88,-64,-44,7,0
-88,-84,-61,-46,7.2,0
-86,-86,-65,-46,7.4,0
-88,-83,-64,-46,7.6,0
-86,-86,-65,-45,7.8,0
-84,-86,-64,-40,8,0
-88,-88,-81,-50,8.2,0
-86,-86,-61,-41,7,0.5
-81,-84,-70,-43,7.2,0.5
-84,-82,-60,-48,7.4,0.5
-84,-85,-58,-52,7.6,0.5
-85,-86,-65,-40,7.8,0.5
-84,-86,-62,-41,8,0.5
-82,-82,-61,-40,8.2,0.5
-88,-88,-68,-51,7,1
-83,-88,-63,-51,7.2,1
-82,-83,-61,-41,7.4,1
-81,-83,-63,-44,7.6,1
-84,-84,-64,-44,7.8,1
-84,-84,-63,-37,8,1
-82,-86,-67,-33,8.2,1
-77,-81,-70,-43,7,1.5
-84,-78,-57,-44,7.2,1.5
-85,-78,-60,-55,7.4,1.5
-80,-84,-72,-44,7.6,1.5
-84,-84,-63,-37,7.8,1.5
-82,-88,-65,-35,8,1.5
-80,-86,-70,-30,8.2,1.5
-73,-86,-62,-44,7,2
-84,-84,-58,-39,7.2,2
-83,-84,-57,-34,7.4,2
-81,-81,-52,-42,7.6,2
-76,-78,-55,-37,7.8,2
-80,-85,-60,-37,8,2
-77,-77,-61,-36,8.2,2
-74,-80,-58,-52,7,2.5
-82,-84,-56,-53,7.2,2.5
-83,-83,-54,-50,7.4,2.5
-83,-86,-57,-52,7.6,2.5
-86,-84,-52,-47,7.8,2.5
-84,-77,-60,-50,8,2.5
-83,-75,-57,-50,8.2,2.5
-84,-83,-70,-60,7,3
-85,-77,-58,-50,7.2,3
-86,-83,-60,-50,7.4,3
-81,-83,-60,-47,7.6,3
-81,-74,-58,-51,7.8,3
-81,-77,-56,-51,8,3
-86,-75,-63,-54,8.2,3
-66,-89,-80,-63,4.1,2
-68,-89,-78,-62,4.3,2
-73,-89,-72,-63,4.5,2
-71,-89,-72,-58,4.7,2
-75,-87,-65,-52,4.9,2
-78,-86,-72,-50,5.1,2
-73,-85,-68,-52,5.3,2
-78,-83,-65,-52,5.5,2
-72,-83,-68,-54,5.7,2
-78,-83,-70,-53,5.9,2
-81,-86,-72,-52,6.1,2
-76,-86,-74,-54,6.3,2
